Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1","Protein kinase, cAMP-dependent, regulatory, type I, alpha",188830,"Myxoma, intracardiac",255960,AD,-,PRKAR1A
"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1","Protein kinase, cAMP-dependent, regulatory, type I, alpha",188830,"Pigmented nodular adrenocortical disease, primary, 1",610489,AD,-,PRKAR1A
"FAM20A, AIGFS, AI1G","Family with sequence similarity 20, member A",611062,"Amelogenesis imperfecta, type IG (enamel-renal syndrome)",204690,AR,-,FAM20A
"SRXX2, DUP17q24.3",46XX sex reversal 2,278850,46XX sex reversal 2,278850,AD,duplication or triplication of 68kb XXSR regulatory region upstream of SOX9,SRXX2
"KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9","Potassium channel, inwardly rectifying, subfamily J, member 2",600681,Andersen syndrome,170390,AD,-,KCNJ2
"KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9","Potassium channel, inwardly rectifying, subfamily J, member 2",600681,"Atrial fibrillation, familial, 9",613980,AD,-,KCNJ2
"KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9","Potassium channel, inwardly rectifying, subfamily J, member 2",600681,Short QT syndrome 3,609622,-,-,KCNJ2
"SOX9, CMD1, SRA1",SRY (sex-determining region Y)-box 9,608160,Acampomelic campomelic dysplasia,114290,AD,-,SOX9
"SOX9, CMD1, SRA1",SRY (sex-determining region Y)-box 9,608160,Campomelic dysplasia,114290,AD,-,SOX9
"SOX9, CMD1, SRA1",SRY (sex-determining region Y)-box 9,608160,Campomelic dysplasia with autosomal sex reversal,114290,AD,-,SOX9
DSPS,"Delayed sleep phase syndrome, susceptibility to",614163,"{Delayed sleep phase syndrome, susceptibility to}",614163,AD,associated with rs28936679 in AANAT,DSPS
"COG1, LDLB, KIAA1381, CDG2G",Component of oligomeric golgi complex 1,606973,"Congenital disorder of glycosylation, type IIg",611209,-,-,COG1
"DNAI2, CILD9","Dynein, axonemal, intermediate chain 2",605483,"Ciliary dyskinesia, primary, 9, with or without situs inversus",612444,-,-,DNAI2
"SLC9A3R1, EBP50, NHERF1, NPHLOP2","Solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulatory factor 1",604990,"Nephrolithiasis/osteoporosis, hypophosphatemic, 2",612287,AD,-,SLC9A3R1
"FDXR, ADXR, ANOA",Ferredoxin reductase (adrenodoxin reductase),103270,Auditory neuropathy and optic atrophy,617717,AR,-,FDXR
"SANS, USH1G",Scaffold protein containing ankyrin repeats and SAM domain,607696,"Usher syndrome, type 1G",606943,AR,?allelic to DFNA20,SANS
"MRPS7, COXPD34",Mitochondrial ribosomal protein S7,611974,?Combined oxidative phosphorylation deficiency 34,617872,AR,mutation identified in 1 COXPD34 family,MRPS7
"SLC25A19, DNC, MUP1, MCPHA, THMD3, THMD4","Solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19",606521,"Microcephaly, Amish type",607196,AR,-,SLC25A19
"SLC25A19, DNC, MUP1, MCPHA, THMD3, THMD4","Solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19",606521,Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type),613710,AR,-,SLC25A19
"TSEN54, SEN54, PCH2A, PCH4, PCH5","tRNA splicing endonuclease 54, S. cerevisiae, homolog of",608755,?Pontocerebellar hypoplasia type 5,610204,AR,mutation identified in 1 PCH5 patient,TSEN54
"TSEN54, SEN54, PCH2A, PCH4, PCH5","tRNA splicing endonuclease 54, S. cerevisiae, homolog of",608755,Pontocerebellar hypoplasia type 2A,277470,AR,-,TSEN54
"TSEN54, SEN54, PCH2A, PCH4, PCH5","tRNA splicing endonuclease 54, S. cerevisiae, homolog of",608755,Pontocerebellar hypoplasia type 4,225753,AR,-,TSEN54
ITGB4,"Integrin, beta-4",147557,Epidermolysis bullosa of hands and feet,131800,AD,-,ITGB4
ITGB4,"Integrin, beta-4",147557,"Epidermolysis bullosa, junctional, non-Herlitz type",226650,AR,-,ITGB4
ITGB4,"Integrin, beta-4",147557,"Epidermolysis bullosa, junctional, with pyloric atresia",226730,AR,-,ITGB4
GALK1,Galactokinase-1,604313,Galactokinase deficiency with cataracts,230200,AR,-,GALK1
"UNC13D, MUNC13-4, HPLH3, HLH3, FHL3","UNC13, C. elegans, homolog of, D",608897,"Hemophagocytic lymphohistiocytosis, familial, 3",608898,-,-,UNC13D
"WBP2, DFNB107",WW domain-binding protein 2,606962,"Deafness, autosomal recessive 107",617639,AR,-,WBP2
"ACOX1, ACOX, SCOX","Acyl-Coenzyme A oxidase 1, palmitoyl",609751,Peroxisomal acyl-CoA oxidase deficiency,264470,AR,-,ACOX1
"RHBDF2, IRHOM2, TOC","Rhomboid 5, Drosophila, homolog of, 2",614404,Tylosis with esophageal cancer,148500,AD,-,RHBDF2
"PRCD, RP36","PRCD, Dog, homolog of",610598,Retinitis pigmentosa 36,610599,-,-,PRCD
"METTL23, C17orf95, MRT44",Methyltransferase-like 23,615262,"Mental retardation, autosomal recessive 44",615942,AR,-,METTL23
"SEPT9, MSF, MSF1, NAPB",Septin 9,604061,"Amyotrophy, hereditary neuralgic",162100,AD,-,SEPT9
"SEPT9, MSF, MSF1, NAPB",Septin 9,604061,"Leukemia, acute myeloid, therapy-related",-,-,-,SEPT9
"SEPT9, MSF, MSF1, NAPB",Septin 9,604061,Ovarian carcinoma,-,-,-,SEPT9
"TMC6, EVER1, EV1",Transmembrane channel-like 6,605828,Epidermodysplasia verruciformis,226400,AR,-,TMC6
"TMC8, EVER2, EV2",Transmembrane channel-like 8,605829,Epidermodysplasia verruciformis,226400,AR,previously mapped to 2p24-p21,TMC8
"CANT1, SCAN1, DBQD1, EDM7",Calcium-activated nucleotidase 1,613165,Desbuquois dysplasia 1,251450,AR,-,CANT1
"CANT1, SCAN1, DBQD1, EDM7",Calcium-activated nucleotidase 1,613165,"Epiphyseal dysplasia, multiple, 7",617719,AR,-,CANT1
"CBX2, M33, SRXY5","Chromobox homolog 2, Drosophila polycomb class",602770,?46XY sex reversal 5,613080,AR,mutation identified in 1 SRXY5 patient,CBX2
"CCDC40, KIAA1640",Coiled-coil domain-containing protein 40,613799,"Ciliary dyskinesia, primary, 15",613808,-,-,CCDC40
GAA,"Glucosidase, acid alpha-",606800,Glycogen storage disease II,232300,AR,distal to TK1,GAA
"DDX48, EIF4A3, MUK34, NMP265, KIAA0111, RCPS",DEAD/H Box 48,608546,Robin sequence with cleft mandible and limb anomalies,268305,AR,-,DDX48
"CARD14, CARMA2, BIMP2, PSORS2, PSS1, PRP",Caspase recruitment domain-containing protein 14,607211,Pityriasis rubra pilaris,173200,AD,-,CARD14
"CARD14, CARMA2, BIMP2, PSORS2, PSS1, PRP",Caspase recruitment domain-containing protein 14,607211,Psoriasis 2,602723,AD,-,CARD14
"SGSH, MPS3A, SFMD",N-sulfoglucosamine sulfohydrolase (sulfamidase),605270,Mucopolysaccharidosis type IIIA (Sanfilippo A),252900,AR,-,SGSH
"RNF213, ALO17, KIAA1618, MYMY2",Ring finger protein 213,613768,"{Moyamoya disease 2, susceptibility to}",607151,-,-,RNF213
"ACTG1, DFNA20, DFNA26, BRWS2","Actin, gamma-1",102560,Baraitser-Winter syndrome 2,614583,AD,-,ACTG1
"ACTG1, DFNA20, DFNA26, BRWS2","Actin, gamma-1",102560,"Deafness, autosomal dominant 20/26",604717,AD,-,ACTG1
"FSCN2, RFSN, RP30","Fascin, sea urchin, homolog of, 2",607643,Retinitis pigmentosa 30,607921,-,within 200kb of ACTG1,FSCN2
"PDE6G, PDEG, RP57","Phosphodiesterase-6G, cGMP-specific, rod, gamma",180073,Retinitis pigmentosa 57,613582,AR,-,PDE6G
GCGR,Glucagon receptor,138033,"{Diabetes mellitus, noninsulin-dependent}",125853,AD,-,GCGR
"P4HB, PROHB, CLCRP1","Procollagen-proline, 2-oxoglutarate-4-dioxygenase, beta polypeptide",176790,Cole-Carpenter syndrome 1,112240,AD,-,P4HB
"ARHGDIA, GDIA1, NPHS8",Rho GDP dissociation inhibitor (GDI) alpha,601925,"Nephrotic syndrome, type 8",615244,AR,-,ARHGDIA
"PYCR1, PRO3, ARCL2B, ARCL3B",Pyrroline-5-carboxylate reductase-1,179035,"Cutis laxa, autosomal recessive, type IIB",612940,AR,-,PYCR1
"PYCR1, PRO3, ARCL2B, ARCL3B",Pyrroline-5-carboxylate reductase-1,179035,"Cutis laxa, autosomal recessive, type IIIB",614438,-,-,PYCR1
"ASPSCR1, RCC17, ASPL, ASPS","Alveolar soft-part sarcoma chromosome region, candidate 1",606236,Alveolar soft-part sarcoma,606243,-,t(X;17)(p11.2;q25),ASPSCR1
"DCXR, P34H, PNTSU",Dicarbonyl/L-xylulose reductase,608347,[Pentosuria],260800,AR,-,DCXR
"CSNK1D, ASPS, FASPS2","Casein kinase-1, delta",600864,"Advanced sleep-phase syndrome, familial, 2",615224,AD,-,CSNK1D
"TBCD, PEBAT",Tubulin-specific chaperone D,604649,"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum",617193,AR,-,TBCD
"ZNF750, FLJ13841",Zinc finger protein 750,610226,Seborrhea-like dermatitis with psoriasiform elements,610227,-,-,ZNF750
"DEL18p, C18DELp",Chromosome 18p deletion syndrome,146390,Chromosome 18p deletion syndrome,146390,AD,-,DEL18p
SCZD8,"Schizophrenia susceptibility locus, chromosome 18-related",603206,{Schizophrenia},181500,AD,-,SCZD8
TET18P,Tetrasomy 18p,614290,Tetrasomy 18p,614290,-,-,TET18P
"SMCHD1, KIAA0650, BAMS",Structural maintenance of chromosomes flexible hinge domain-containing protein 1,614982,Bosma arhinia microphthalmia syndrome,603457,AD,-,SMCHD1
"SMCHD1, KIAA0650, BAMS",Structural maintenance of chromosomes flexible hinge domain-containing protein 1,614982,"Fascioscapulohumeral muscular dystrophy 2, digenic",158901,-,-,SMCHD1
LPIN2,Lipin 2,605519,Majeed syndrome,609628,-,-,LPIN2
"TGIF1, HPE4",TG-interacting factor 1,602630,Holoprosencephaly 4,142946,AD,-,TGIF1
"LAMA1, PTBHS","Laminin, alpha-1",150320,Poretti-Boltshauser syndrome,615960,AR,-,LAMA1
NDUFV2,"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kD",600532,Mitochondrial complex I deficiency,252010,"XLD,Mi,AR",pseudogene on 19q13.3-qter,NDUFV2
"APCDD1, HHS, HYPT1, HTS",Adenomatosis polyposis coli down-regulated 1,607479,Hypotrichosis 1,605389,AD,-,APCDD1
"PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT",PIEZO-type mechanosensitive ion channel component 2,613629,?Marden-Walker syndrome,248700,AD,mutation identified in 1 MWKS patient,PIEZO2
"PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT",PIEZO-type mechanosensitive ion channel component 2,613629,"Arthrogryposis, distal, type 3",114300,AD,-,PIEZO2
"PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT",PIEZO-type mechanosensitive ion channel component 2,613629,"Arthrogryposis, distal, type 5",108145,AD,-,PIEZO2
"PIEZO2, FAM38B, DA5, DA3, MWKS, DAIPT",PIEZO-type mechanosensitive ion channel component 2,613629,"Arthrogryposis, distal, with impaired proprioception and touch",617146,AR,-,PIEZO2
"GNAL, DYT25","Guanine nucleotide-binding protein, alpha-subunit, olfactory type",139312,Dystonia 25,615073,AD,-,GNAL
"TUBB6, FPVEPD","Tubulin, beta-6",615103,"?Facial palsy, congenitla, with ptosis and velopharyngeal dysfunction",617732,AD,mutation identified in 1 FPVEPD family,TUBB6
"AFG3L2, SCA28, SPAX5",ATPase family gene 3-like 2,604581,"Spastic ataxia 5, autosomal recessive",614487,AR,-,AFG3L2
"AFG3L2, SCA28, SPAX5",ATPase family gene 3-like 2,604581,Spinocerebellar ataxia 28,610246,AD,-,AFG3L2
MC2R,Melanocortin-2 receptor (ACTH receptor),607397,"Glucocorticoid deficiency, due to ACTH unresponsiveness",202200,AR,-,MC2R
DEL18q,Chromosome 18q deletion syndrome,601808,Chromosome 18q deletion syndrome,601808,AD,-,DEL18q
"GREB1L, C18orf6, KIAA1772, RHDA3",GREB1-like protein,617782,Renal hypodysplasia/aplasia 3,617805,-,-,GREB1L
"MIB1, MIB, DIP1, KIAA1323, LVNC7","Mindbomb, Drosophila, homolog of, 1",608677,Left ventricular noncompaction 7,615092,AD,-,MIB1
"GATA6, AVSD5, ASD9, PACHD",GATA-binding protein-6,601656,Atrial septal defect 9,614475,AD,-,GATA6
"GATA6, AVSD5, ASD9, PACHD",GATA-binding protein-6,601656,Atrioventricular septal defect 5,614474,AD,-,GATA6
"GATA6, AVSD5, ASD9, PACHD",GATA-binding protein-6,601656,Pancreatic agenesis and congenital heart defects,600001,AD,-,GATA6
"GATA6, AVSD5, ASD9, PACHD",GATA-binding protein-6,601656,Persistent truncus arteriosus,217095,-,-,GATA6
"GATA6, AVSD5, ASD9, PACHD",GATA-binding protein-6,601656,Tetralogy of Fallot,187500,AD,-,GATA6
"RBBP8, RIM, SCKL2, JWDS",Retinoblastoma-binding protein 8,604124,Jawad syndrome,251255,AR,-,RBBP8
"RBBP8, RIM, SCKL2, JWDS",Retinoblastoma-binding protein 8,604124,"Pancreatic carcinoma, somatic",-,-,-,RBBP8
"RBBP8, RIM, SCKL2, JWDS",Retinoblastoma-binding protein 8,604124,Seckel syndrome 2,606744,AR,-,RBBP8
"NPC1, NPC",NPC1 gene,607623,"Niemann-Pick disease, type C1",257220,AR,some families not linked to 18; type D prob. allelic,NPC1
"NPC1, NPC",NPC1 gene,607623,"Niemann-Pick disease, type D",257220,AR,-,NPC1
"LAMA3, LOCS","Laminin, alpha-3 (nicein, 150kD; kalinin, 165kD; BM600, 150kD; epiligrin)",600805,"Epidermolysis bullosa, generalized atrophic benign",226650,AR,-,LAMA3
"LAMA3, LOCS","Laminin, alpha-3 (nicein, 150kD; kalinin, 165kD; BM600, 150kD; epiligrin)",600805,"Epidermolysis bullosa, junctional, Herlitz type",226700,AR,-,LAMA3
"LAMA3, LOCS","Laminin, alpha-3 (nicein, 150kD; kalinin, 165kD; BM600, 150kD; epiligrin)",600805,Laryngoonychocutaneous syndrome,245660,AR,-,LAMA3
"TAF4B, TAF2C2, TAFII105, SPGF13","TAF4b RNA polymerase II, TATA box-binding protein-associated factor, 105kD",601689,?Spermatogenic failure 13,615841,AR,mutation identified in 1 SPGF13 family,TAF4B
"KCTD1, SENS",Potassium channel tetramerization domain-containing 1,613420,Scalp-ear-nipple syndrome,181270,AD,-,KCTD1
"DSC3, DSC4",Desmocollin-3,600271,?Hypotrichosis and recurrent skin vesicles,613102,AR,mutation identified in 1 HYPTSV family,DSC3
"DSC2, DSC3, ARVD11",Desmocollin-2,125645,Arrhythmogenic right ventricular dysplasia 11,610476,"AD,AR",-,DSC2
"DSC2, DSC3, ARVD11",Desmocollin-2,125645,Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair,610476,"AD,AR",-,DSC2
"DSG1, PPKS1, SPPK1, EPKHE",Desmoglein-1,125670,"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE",615508,AR,pemphigus foliaceous antigen,DSG1
"DSG1, PPKS1, SPPK1, EPKHE",Desmoglein-1,125670,"Keratosis palmoplantaris striata I, AD",148700,AD,-,DSG1
"DSG4, LAH, HYPT6",Desmoglein 4,607892,Hypotrichosis 6,607903,AR,-,DSG4
"DSG2, ARVD10, ARVC10, CMD1BB",Desmoglein-2,125671,Arrhythmogenic right ventricular dysplasia 10,610193,AD,-,DSG2
"DSG2, ARVD10, ARVC10, CMD1BB",Desmoglein-2,125671,"Cardiomyopathy, dilated, 1BB",612877,-,-,DSG2
"TTR, PALB",Transthyretin (prealbumin),176300,"Amyloidosis, hereditary, transthyretin-related",105210,AD,-,TTR
"TTR, PALB",Transthyretin (prealbumin),176300,"Carpal tunnel syndrome, familial",115430,AD,-,TTR
"TTR, PALB",Transthyretin (prealbumin),176300,[Dystransthyretinemic hyperthyroxinemia],145680,AD,-,TTR
"RNF125, TRAC1, TNORS",RING finger protein 125,610432,Tenorio syndrome,616260,AD,-,RNF125
"ASXL3, KIAA1713, BRPS",Additional sex combs-like 3,615115,Bainbridge-Ropers syndrome,615485,-,-,ASXL3
"DTNA, D18S892E, DRP3, LVNC1","Dystobrevin, alpha (dystrophin-related protein 3)",601239,"Left ventricular noncompaction 1, with or without congenital heart defects",604169,AD,-,DTNA
"MAPRE2, EB2, RP1, CSCSC2","Microtubule-associated protein, RP/EB family, member 2",605789,"Symmetric circumferential skin creases, congenital, 2",616734,AD,-,MAPRE2
"ELP2, STATIP1, MRT58","Elongator acetyltransferase complex, subunit 2",616054,"Mental retardation, autosomal recessive 58",617270,AR,-,ELP2
"MOCOS, MCS, XAN2",Molybdenum cofactor sulfurase,613274,"Xanthinuria, type II",603592,AR,-,MOCOS
"SETBP1, KIAA0437, SEB, MRD29",SET-binding protein 1,611060,"Mental retardation, autosomal dominant 29",616078,AD,fused with NUP98 in ALL,SETBP1
"SETBP1, KIAA0437, SEB, MRD29",SET-binding protein 1,611060,Schinzel-Giedion midface retraction syndrome,269150,AD,-,SETBP1
"SLC14A1, JK, UTE, UT1","Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",613868,"[Blood group, Kidd]",111000,-,previous suggestion of chr.7 or chr.2,SLC14A1
"EPG5, KIAA1632, HEEW1, VICIS","Ectopic P-granules autophagy protein 5, C. elegans, homolog of",615068,Vici syndrome,242840,AR,-,EPG5
"ATP5A1, ATPM, ATP5A, ORM, MC5DN4, COXPD22","ATP synthase, H+ transporting (ATPase, mitochondrial)",164360,?Combined oxidative phosphorylation deficiency 22,616045,AR,"pseudogenes on chr. 2, chr. 9, and chr.16; mutation identified in 1 MC5DN4 family and 1 COXPD22 family",ATP5A1
"ATP5A1, ATPM, ATP5A, ORM, MC5DN4, COXPD22","ATP synthase, H+ transporting (ATPase, mitochondrial)",164360,"?Mitochondrial complex (ATP synthase) deficiency, nuclear type 4",615228,AR,-,ATP5A1
"LOXHD1, DFNB77",Lipoxygenase homology domains-containing 1,613072,"Deafness, autosomal recessive 77",613079,AR,-,LOXHD1
"IER3IP1, MEDS",Immediate-early response 3-interacting protein 1,609382,"Microcephaly, epilepsy, and diabetes syndrome",614231,AR,-,IER3IP1
"SMAD7, MADH7, CRCS3","Mothers against decapentaplegic, Drosophila, homolog of, 7",602932,"{Colorectal cancer, susceptibility to, 3}",612229,-,-,SMAD7
"DYM, FLJ90130, DMC, SMC",Dymeclin,607461,Dyggve-Melchior-Clausen disease,223800,AR,-,DYM
"DYM, FLJ90130, DMC, SMC",Dymeclin,607461,Smith-McCort dysplasia,607326,AR,-,DYM
"MYO5B, KIAA1119",Myosin VB,606540,Microvillus inclusion disease,251850,AR,-,MYO5B
"CCDC11, HTX6",Coiled-coil domain-containing protein 11,614759,"Heterotaxy, visceral, 6, autosomal recessive",614779,AR,-,CCDC11
"SMAD4, MADH4, DPC4, JIP, MYHRS","Mothers against decapentaplegic, Drosophila, homolog of, 4",600993,Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,175050,AD,-,SMAD4
"SMAD4, MADH4, DPC4, JIP, MYHRS","Mothers against decapentaplegic, Drosophila, homolog of, 4",600993,Myhre syndrome,139210,AD,-,SMAD4
"SMAD4, MADH4, DPC4, JIP, MYHRS","Mothers against decapentaplegic, Drosophila, homolog of, 4",600993,"Pancreatic cancer, somatic",260350,-,-,SMAD4
"SMAD4, MADH4, DPC4, JIP, MYHRS","Mothers against decapentaplegic, Drosophila, homolog of, 4",600993,"Polyposis, juvenile intestinal",174900,AD,-,SMAD4
"DCC, MRMV1, HGPPS2",Deleted in colorectal carcinoma,120470,"Colorectal cancer, somatic",114500,-,-,DCC
"DCC, MRMV1, HGPPS2",Deleted in colorectal carcinoma,120470,"Esophageal carcinoma, somatic",133239,-,-,DCC
"DCC, MRMV1, HGPPS2",Deleted in colorectal carcinoma,120470,"Gaze palsy, familial horizontal, with progressive scoliosis, 2",617542,AR,-,DCC
"DCC, MRMV1, HGPPS2",Deleted in colorectal carcinoma,120470,Mirror movements 1 and/or agenesis of the corpus callosum,157600,AD,-,DCC
"TCF4, SEF2, ITF2, PTHS, FECD3",Transcription factor-4 (immunoglobulin transcription factor-2),602272,"Corneal dystrophy, Fuchs endothelial, 3",613267,AD,-,TCF4
"TCF4, SEF2, ITF2, PTHS, FECD3",Transcription factor-4 (immunoglobulin transcription factor-2),602272,Pitt-Hopkins syndrome,610954,AD,-,TCF4
"FECH, FCE",Ferrochelatase,612386,"Protoporphyria, erythropoietic, autosomal recessive",177000,AR,-,FECH
"ATP8B1, FIC1, BRIC, PFIC1, ICP1","ATPase, class I, type 8B, member 1",602397,"Cholestasis, benign recurrent intrahepatic",243300,AR,-,ATP8B1
"ATP8B1, FIC1, BRIC, PFIC1, ICP1","ATPase, class I, type 8B, member 1",602397,"Cholestasis, intrahepatic, of pregnancy, 1",147480,AD,-,ATP8B1
"ATP8B1, FIC1, BRIC, PFIC1, ICP1","ATPase, class I, type 8B, member 1",602397,"Cholestasis, progressive familial intrahepatic 1",211600,AR,-,ATP8B1
"NEDD4L, KIAA0439, RSP5, PVNH7",Ubiquitin protein ligase NEDD4-like,606384,Periventricular nodular heterotopia 7,617201,AD,-,NEDD4L
"MALT1, MLT, IMD12",Mucosa-associated lymphoid tissue lymphoma translocation gene 1,604860,Immunodeficiency 12,615468,AR,fused with API2 in MALT lymphoma,MALT1
"RAX, RX, MCOP3",Retina and anterior neural fold homeobox gene,601881,"Microphthalmia, isolated 3",611038,AR,-,RAX
"LMAN1, ERGIC53, F5F8D, MCFD1","Lectin, mannose-binding, 1",601567,Combined factor V and VIII deficiency,227300,AR,-,LMAN1
"CCBE1, KIAA1983, HKLLS1",Collagen and calcium-binding EGF domain-containing protein 1,612753,Hennekam lymphangiectasia-lymphedema syndrome 1,235510,AR,-,CCBE1
MC4R,Melanocortin-4 receptor,155541,"Obesity, autosomal dominant",601665,"AD,Mu,AR",-,MC4R
"PIGN, MCAHS1","Phosphatidylinositol glycan, class N",606097,Multiple congenital anomalies-hypotonia-seizures syndrome 1,614080,AR,-,PIGN
"TNFRSF11A, RANK, ODFR, FEO, OPTB7, PDB2","Tumor necrosis factor receptor superfamily, member 11A",603499,"Osteolysis, familial expansile",174810,AD,-,TNFRSF11A
"TNFRSF11A, RANK, ODFR, FEO, OPTB7, PDB2","Tumor necrosis factor receptor superfamily, member 11A",603499,"Osteopetrosis, autosomal recessive 7",612301,-,-,TNFRSF11A
"TNFRSF11A, RANK, ODFR, FEO, OPTB7, PDB2","Tumor necrosis factor receptor superfamily, member 11A",603499,"{Paget disease of bone 2, early-onset}",602080,AD,-,TNFRSF11A
"KDSR, FVT1, EKVP4",3-ketodihydrosphingosine reductase,136440,Erythrokeratodermia variabilis et progressiva 4,617526,AR,~10kb 5' to BCL2,KDSR
"SERPINB7, MEGSIN, PPKN","Serpin peptidase inhibitor, clade B (ovalbumin), member 7",603357,"Palmoplantar keratoderma, Nagashima type",615598,AR,-,SERPINB7
"DUP18pDEL18q, DUP18qDEL18p",Chromosome 18 pericentric inversion,609334,Chromosome 18 pericentric inversion,609334,-,-,DUP18pDEL18q
"SERPINB8, PI8, CAP2, PSS5","Serpin family B, member 8",601697,Peeling skin syndrome 5,617115,AR,-,SERPINB8
"RTTN, MSSP",Rotatin,610436,"Microcephaly, short stature, and polymicrogyria with seizures",614833,AR,-,RTTN
"CYB5A, MCB5",Cytochrome b5,613218,"?Methemoglobinemia, type IV",250790,AR,"pseudogenes on X, 14q, 20p; mutation identified in 1 MET5 patient",CYB5A
"TSHZ1, TSH1, CAA",Teashirt zinc finger homeobox 1,614427,"Aural atresia, congenital",607842,AD,-,TSHZ1
"CTDP1, FCP1, CCFDN","C-terminal domain of RNA polymerase II subunit A, phosphatase of, subunit 1",604927,"Congenital cataracts, facial dysmorphism, and neuropathy",604168,AR,-,CTDP1
"TXNL4A, DIM1, BMKS",Thioredoxin-like 4A,611595,Burn-McKeown syndrome,608572,AR,-,TXNL4A
PPNAD4,"Pigmented nodular adrenocortical disease, primary, 4",615830,"Pigmented nodular adrenocortical disease, primary, 4",615830,AD,duplication of 294kb to 2.7Mb on 19p13,PPNAD4
BSG,Basigin (blood group OK),109480,"[Blood group, OK]",111380,-,-,BSG
"ELANE, ELA2, SCN1","Elastase, neutrophil-expressed",130130,"Neutropenia, cyclic",162800,AD,-,ELANE
"ELANE, ELA2, SCN1","Elastase, neutrophil-expressed",130130,"Neutropenia, severe congenital 1, autosomal dominant",202700,AD,-,ELANE
"CFD, ADN",Complement factor D,134350,Complement factor D deficiency,613912,AR,-,CFD
"KISS1R, GPR54, HH8, CPPB1",KISS1 receptor,604161,"?Precocious puberty, central, 1",176400,AD,mutation identified in 1 CPPB1 patient,KISS1R
"KISS1R, GPR54, HH8, CPPB1",KISS1 receptor,604161,Hypogonadotropic hypogonadism 8 with or without anosmia,614837,AR,-,KISS1R
"ABCA7, ABCX, AD9","ATP-binding cassette, subfamily A, member 7",605414,"{Alzheimer disease 9, susceptibility to}",608907,AD,-,ABCA7
"GPX4, SMDS",Glutathione peroxidase-4 (phospholipid hydroperoxidase),138322,"Spondylometaphyseal dysplasia, Sedaghatian type",250220,AR,-,GPX4
"STK11, PJS, LKB1",Serine/threonine protein kinase-11,602216,"Melanoma, malignant, somatic",-,-,-,STK11
"STK11, PJS, LKB1",Serine/threonine protein kinase-11,602216,Pancreatic cancer,260350,"AD,Mu,SMu",-,STK11
"STK11, PJS, LKB1",Serine/threonine protein kinase-11,602216,Peutz-Jeghers syndrome,175200,AD,-,STK11
"STK11, PJS, LKB1",Serine/threonine protein kinase-11,602216,"Testicular tumor, somatic",273300,-,-,STK11
"NDUFS7, PSST","NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kD (NADH-coenzyme Q reductase)",601825,Leigh syndrome,256000,"Mi,AR",-,NDUFS7
"GAMT, CCDS2",Guanidinoacetate methyltransferase,601240,Cerebral creatine deficiency syndrome 2,612736,AR,-,GAMT
"APC2, APCL, SOTOS3",APC2 gene,612034,?Sotos syndrome 3,617169,AR,mutation identified in 1 SOTOS3 family,APC2
"REEP6, DP1L1, TB2L1, C19orf32, RP77",Receptor expression-enhancing protein 6,609346,Retinitis pigmentosa 77,617304,AR,-,REEP6
"TCF3, E2A, AGM8",Transcription factor-3 (E2A immunoglobulin enhancer-binding factors E12/E47),147141,"Agammaglobulinemia 8, autosomal dominant",616941,AD,-,TCF3
"ADAT3, TAD3, MRT36","Adenosine deaminase, tRNA-specific, 3",615302,"Mental retardation, autosomal recessive 36",615286,AR,-,ADAT3
"AP3D1, HPS10","Adaptor-related protein complex 3, delta-1 subunit",607246,?Hermansky-Pudlak syndrome 10,617050,AR,mutation identified in 1 HPS10 patient,AP3D1
"AMH, MIF",Anti-Mullerian hormone,600957,"Persistent Mullerian duct syndrome, type I",261550,AR,-,AMH
"LMNB2, LMN2, EPM9",Lamin B2,150341,"?Epilepsy, progressive myoclonic, 9",616540,AR,mutation identified in 1 EPM9 family,LMNB2
"LMNB2, LMN2, EPM9",Lamin B2,150341,"{Lipodystrophy, partial, acquired, susceptibility to}",608709,AD,-,LMNB2
"TLE6, GRG6, PREMBL",Transducin-like enhancer of split 6,612399,Preimplantation embryonic lethality,616814,AR,-,TLE6
"GNA11, HHC2, HYPOC2","Guanine nucleotide-binding protein, Gq class, GNA11",139313,"Hypocalcemia, autosomal dominant 2",615361,AD,-,GNA11
