Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
Spinocerebellar ataxia type 6,脊髓小脑性共济失调6型,183086,,spinocerebellar ataxia type 6,脊髓小脑性共济失调6型,进行性/渐进性，平视跟踪障碍，偏头痛，小脑萎缩，凝视诱发眼震，构音障碍，进行性小脑共济失调，遗传早现，吞咽困难，感觉神经病，前庭眼反射异常,AD,,
Hereditary combined deficiency of vitamin K-dependent clotting factors,维生素K依赖性凝血因子联合缺陷1型,277450;607473,,vitamin K-dependent clotting factors，combined deficiency of，1,维生素K依赖性凝血因子联合缺陷1型,出血异常，IX凝血因子活性降低，X凝血因子活性降低，Ⅶ凝血因子活性降低，凝血酶原活性降低，瘀斑易感性，鼻衄，关节出血，骨骺点状钙化，部分凝血活酶时间延长，手指短末节指骨，短鼻,AR,,
Platelet storage pool disease,血小板储存池疾病,185050,,,,骨髓发育不良，出血时间延长，急性白血病，平均血小板体积减小,AD,,
Tropical pancreatitis,热带性钙化性胰腺炎,608189,,tropical calcific pancreatitis,热带性钙化性胰腺炎,腹痛，胰腺钙化，慢性胰腺炎，胰腺肿瘤，胰岛素依赖但非酮症性糖尿病，胰腺钙化,AD，AR,,
Congenital sodium diarrhea,先天性钠腹泻,270420;616868,,congenital sodium diarrhea,先天性钠腹泻,直肠阴道瘘，视神经缺损，肠旋转不良，输尿管重复，肛门闭锁，低位耳，眼距过宽，大头畸形，鼻后孔闭锁，角膜糜烂，腹胀，分泌性腹泻，羊水过多，代谢紊乱/稳态失衡,AR,,
Diarrhea-vomiting due to trehalase deficiency,海藻糖酶缺乏引起的腹泻 - 呕吐,612119,,,,腹泻,AR,,
Familial isolated congenital asplenia,单纯性先天无脾,271400,,isolated congenital asplenia,单纯性先天无脾,无脾，婴幼儿期发病，血小板增多，腹部异常，代谢紊乱/稳态失衡，腹部异常,AD，AR,,
Autosomal recessive dopa-responsive dystonia,酪氨酸羟化酶缺乏症,605407,,tyrosine hydroxylase deficiency,酪氨酸羟化酶缺乏症,表现度差异，肌阵挛，语言发育迟缓，运动延迟，强直，对多巴胺能药物反应良好的帕金森，脑脊液高香草酸（HVA）降低，少动，上睑下垂，帕金森症，步态共济失调，婴幼儿期发病，震颤，面具般面容，躯干肌张力减退，肢体肌张力障碍,AR,,
Spinocerebellar ataxia type 25,脊髓小脑性共济失调25型,608703,,,,面部抽动，中心视力下降，感觉神经病，脊柱侧弯，视觉障碍，痛觉障碍，小脑萎缩，高弓足，振动觉消失，下肢反射消失，斜视，巴彬斯基征，眼球震颤，呕吐，面肌纤维颤搐，共济失调，周围有髓鞘神经纤维数量减少，构音障碍，尿急,AD,,
Spinocerebellar ataxia type 26,脊髓小脑性共济失调26型,609306,,spinocerebellar ataxia type 26,脊髓小脑性共济失调26型,不协调，躯干性共济失调，步态共济失调，眼球震颤，缓慢病程，水平平滑追随眼动受损，Dysmetric 扫视，肢体共济失调，小脑萎缩，构音障碍,AD,,
Spinocerebellar ataxia type 28,脊髓小脑性共济失调28型,610246,,spinocerebellar ataxia type 28,脊髓小脑性共济失调28型,肢体共济失调，缓慢病程，痉挛状态，肌张力障碍，构音障碍，下肢腱反射亢进，上睑下垂，帕金森症，巴彬斯基征，眼肌瘫痪，小脑萎缩，慢眼跳，凝视诱发眼震，步态共济失调，Dysmetric 扫视，,AD,,
Spinocerebellar ataxia type 20,脊髓小脑性共济失调20型,608687,,spinocerebellar ataxia type 20,脊髓小脑性共济失调20型,腭肌阵挛，肢体共济失调，成年发病，发音困难，眼球震颤，高音调的声音，Hypermetric扫视，缓慢病程，锥体功能障碍，体位性震颤，步态共济失调，构音障碍,AD,,
Spinocerebellar ataxia type 22,脊髓小脑性共济失调19型,607346,,spinocerebellar ataxia type 19,脊髓小脑性共济失调19型,构音障碍，反射亢进，小脑萎缩，肢体共济失调，步态共济失调，躯干性共济失调，体位性震颤，凝视诱发水平眼震，进程缓慢，肌阵挛，腱反射减弱，吞咽困难，进行性小脑共济失调，齿轮样强直，眼球微小扫视运动，认知障碍,AD ,,
Spinocerebellar ataxia type 23,脊髓小脑性共济失调23型,610245,,spinocerebellar ataxia type 23,脊髓小脑性共济失调23型,步态共济失调，胼胝体发育不全，慢眼跳，震颤，下肢振动觉障碍，中枢神经系统脱髓鞘，巴彬斯基征，小脑萎缩，感觉运动神经病，构音障碍，反射亢进，肢体共济失调，辨距不良，中枢神经系统神经元损失，缓慢病程,AD,,
Porphyria cutanea tarda,肝红细胞生成型血卟啉病,176090;176100,,hepatoerythropoietic porphyria,肝红细胞生成型血卟啉病,皮肤色素沉着，薄皮，皮疹，光感性皮肤，皮肤色素减退斑，皮肤的异常起疱，红斑，表皮水疱，,,,
Charcot-Marie-Tooth disease type 1F,charcot-marie-tooth病1F型,607734,,charcot-marie-tooth disease type 1F,charcot-marie-tooth病1F型,异质性的，表现度差异，远端肌肉萎缩，远端肌无力，高弓足，神经反射消失，运动神经传导速度降低，轴突再生集群，洋葱鳞茎形成，节段性神经末梢脱髓鞘/髓鞘再生，腱反射减弱，髓鞘外折术，运动延迟，青少年性发病，周围有髓鞘神经纤维数量减少，远端感觉障碍，,AD，AR,,
X-linked hyper-IgM syndrome,免疫缺陷伴lgm增高1型,308230,,immunodeficiency with hyper-lgM，type 1,免疫缺陷伴lgm增高1型,口腔炎，肝炎，慢性肝炎，反复细菌感染，免疫球蛋白类别转换重组障碍，IgE缺乏，IgG抗体缺乏症，中性粒细胞减少，IgA缺乏，腹泻，记忆B细胞生成障碍，脾肿大，淋巴结生发中心缺失，溶血性贫血，IgM水平增加，异常丙种球蛋白血症，血小板减少，XR，牙龈炎，T细胞活化降低，免疫缺陷，肝脏肿大,,,
Charcot-Marie-Tooth disease type 1A,charcot-marie-tooth病1A型,118220,,charcot-marie-tooth disease type 1A,charcot-marie-tooth病1A型,手劈裂，异质性的，听力障碍，表现度差异，远端肌无力，远端肌肉萎缩，尺侧爪手，青少年性发病，周围有髓鞘神经纤维数量减少，远端感觉障碍，槌状趾，感冒引起的肌肉痉挛，高弓足，起病隐袭，神经反射消失，运动神经传导速度降低，脊柱侧弯，缓慢病程，足背屈无力，洋葱鳞茎形成，节段性神经末梢脱髓鞘/髓鞘再生，跨阈步态，腱反射减弱，髓鞘外折术，肥厚性神经改变,AD,,
Charcot-Marie-Tooth disease type 1B,charcot-marie-tooth病1B型,118200,,charcot-marie-tooth disease type 1B,charcot-marie-tooth病1B型,手劈裂，瞳孔强直，异质性的，表现度差异，神经反射消失，足背屈无力，感冒引起的肌肉痉挛，远端肌无力，腱反射减弱，高弓足，跨阈步态，远端感觉障碍，髓鞘外折术，青少年性发病，槌状趾，运动神经传导速度降低，远端肌肉萎缩，周围有髓鞘神经纤维数量减少，尺侧爪手，脊柱侧弯，起病隐袭，缓慢病程，外周髓鞘脱失，肥厚性神经改变，洋葱鳞茎形成,AD,,
Charcot-Marie-Tooth disease type 1C,charcot-marie-tooth病1C型,601098,,charcot-marie-tooth disease type 1C,charcot-marie-tooth病1C型,远端肌肉萎缩，远端感觉障碍，洋葱鳞茎形成，青少年性发病，远端肌无力，异质性的，运动神经传导速度降低，腱反射减弱，节段性神经末梢脱髓鞘/髓鞘再生，高弓足，肥厚性神经改变,AD,,
Charcot-Marie-Tooth disease type 1D,charcot-marie-tooth病1D型,607678,,charcot-marie-tooth disease type 1D,charcot-marie-tooth病1D型,表现度差异，异质性的，上肢肌无力，跨阈步态，足背屈无力，远端肌肉萎缩，运动神经传导速度降低，青少年性发病，远端肌无力,AD,,
X-linked Charcot-Marie-Tooth disease type 3,X连锁charcot-marie-tooth病3型,302802,,,,听力障碍，感觉神经病，智力残疾，痉挛状态，肌无力，下肢轻瘫，脊柱侧弯，驼背，感觉轴索神经病，轴索性周围神经病，运动轴索性神经病，锥体功能障碍，痛觉障碍，下肢远端肌肉肌萎缩,,,
X-linked Charcot-Marie-Tooth disease type 4,X连锁charcot-marie-tooth病4型,310490,,X-linked charcot-marie-tooth disease 4,X连锁charcot-marie-tooth病4型,听力障碍，神经传导速度降低，感觉神经病，智力残疾，神经反射消失，高弓足，远端肌无力，脊柱侧弯，驼背，肌萎缩，感觉运动神经病，痛觉障碍,,,
X-linked Charcot-Marie-Tooth disease type 1,X连锁charcot-marie-tooth病1型,302800,,X-linked charcot-marie-tooth disease 1,X连锁charcot-marie-tooth病1型,感觉神经病，神经反射消失，高弓足，上肢远端肌萎缩，痛觉障碍，下肢远端肌肉肌萎缩，神经传导速度异常,,,
X-linked Charcot-Marie-Tooth disease type 2,X连锁charcot-marie-tooth病2型,302801,,,,感觉神经病，癫痫发作，神经反射消失，高弓足，上肢远端肌萎缩，痛觉障碍，下肢肌肉无力，周围神经病，神经传导速度异常,,,
Charcot-Marie-Tooth disease type 2H,charcot-marie-tooth病2H型,607731,,,,远端肌无力，远端肌肉萎缩，足背屈无力，远端感觉障碍，膝腱反射亢进，跨阈步态，高弓足，青少年性发病，上肢反射亢进，周围有髓鞘神经纤维数量减少，远端肌无力，跟腱反射缺如,AR,,
Charcot-Marie-Tooth disease type 2B2,charcot-marie-tooth病2B2型,605589,,charcot-marie-tooth disease type 2B2,charcot-marie-tooth病2B2型,远端肌肉萎缩，运动神经传导速度降低，远端肌无力，成年发病，神经反射消失，远端感觉障碍，腱反射减弱,AR,,
Autosomal recessive Charcot-Marie-Tooth disease with hoarseness,轴突型charcot-marie-tooth病伴声带麻痹,607706;607831,,charcot-marie-tooth disease，axonal，with vocal cord paresis,轴突型charcot-marie-tooth病伴声带麻痹,手劈裂，异质性的，远端肌无力，洋葱鳞茎形成，新生儿期发病，远端肌肉萎缩，运动神经传导速度降低，远端感觉障碍，屈曲挛缩，声带麻痹，脊柱变形，周围有髓鞘神经纤维数量减少，高弓足，神经反射消失，轴索变性/再生，运动神经传导速度降低，脊柱侧弯，近端肌肉无力，远端肌无力，远端肌肉萎缩，手劈裂，婴幼儿期发病，马蹄内翻足，轴突再生,AD，AR,,
Hyper-IgM syndrome type 3,免疫缺陷伴lgm增高3型,606843,,immunodeficiency with hyper-lgM，type 3,免疫缺陷伴lgm增高3型,IgG抗体缺乏症，免疫缺陷，IgA缺乏，免疫球蛋白类别转换重组障碍，反复细菌感染，IgE缺乏，中性粒细胞减少，IgM水平增加，记忆B细胞生成障碍，淋巴结生发中心缺失,AR,,
Hyper-IgM syndrome type 2,免疫缺陷伴lgm增高2型,605258,,immunodeficiency with hyper-lgM，type 2,免疫缺陷伴lgm增高2型,上下呼吸道反复感染，IgG抗体缺乏症，免疫缺陷，反复呼吸道感染，淋巴结肿大，IgA缺乏，反复细菌感染，胃肠道反复感染，免疫球蛋白类别转换重组障碍,AR,,
Hyper-IgM syndrome type 5,免疫缺陷伴lgm增高5型,608106,,immunodeficiency with hyper-lgM，type 5,免疫缺陷伴lgm增高5型,附睾炎，上下呼吸道反复感染，IgG抗体缺乏症，免疫缺陷，IgM水平增加，IgA缺乏，淋巴结肿大，免疫球蛋白类别转换重组障碍，反复细菌感染,AR,,
Hyper-IgM syndrome type 4,Hyper-IgM综合征4型,608184,,,,免疫球蛋白类别转换重组障碍，免疫缺陷，胃肠道反复感染，反复细菌感染，骨髓发育不良，复发性上呼吸道感染，自身免疫性溶血性贫血，支气管扩张，骨髓炎，自身免疫性血小板减少症，淋巴结生发中心缺失,AR,,
Familial hypocalciuric hypercalcemia type 2,家族性低钙尿性高钙血症2型,145981,,familial hypocalciuric hypercalcemia type 2,家族性低钙尿性高钙血症2型,"肾结石，胃溃疡，原发性甲状旁腺功能亢进症，
甲状旁腺激素非依赖性肾小管钙重吸收的增加，多发性脂肪瘤，高钙血症，低钙尿症，软骨钙质沉着症，胰腺炎，高镁血症",,,
Familial hypocalciuric hypercalcemia type 3,家族性低钙尿性高钙血症3型,600740,,familial hypocalciuric hypercalcemia type 3,家族性低钙尿性高钙血症3型,肾结石，原发性甲状旁腺功能亢进症，胃溃疡，多发性脂肪瘤，甲状旁腺激素非依赖性肾小管钙重吸收的增加，高镁血症，胰腺炎，软骨钙质沉着症，低钙尿症，高钙血症,,,
Familial hypofibrinogenemia,先天性纤维蛋白原缺乏血症,202400,,congenital afibrinogenemia,先天性纤维蛋白原缺乏血症,牙龈出，鼻衄，出血异常，胃肠道出血,,,
Autosomal dominant epilepsy with auditory features,家族性颞叶癫痫1型,600512;616436;616461,,epilepsy，familial temporal lobe，1,家族性颞叶癫痫1型,听觉先兆，局灶性发作伴有意识障碍，局灶性发作伴有意识障碍，听觉先兆，双侧痉挛发作，局灶性发作不伴有意识障碍,AD，外显不全,,
Congenital stromal corneal dystrophy,先天性间质性角膜营养不良,610048,,,,角膜厚度增加，进行性视力下降，先天性角膜营养不良，斜视，青光眼,AD,,
Bilateral frontoparietal polymicrogyria,双侧额顶骨多小脑回畸形,606854,,bilateral frontoparietal polymicrogyria,双侧额顶骨多小脑回畸形,脑髓鞘形成障碍，全面发育迟缓，智力残疾，踝阵挛，外斜视，巴彬斯基征，眼球震颤，反射亢进，内斜视，额顶叶多小脑回，脑干发育不良，肌张力增高，癫痫发作，躯干性共济失调，宽基步态，小脑发育不全，多小脑回，从前到后的梯度,AR,,
Mediterranean macrothrombocytopenia,谷固醇血症,210250,,sitosterolemia,谷固醇血症,脾肿大，体壁的异常，关节炎，肝脏异常，巨血小板，异常出血，腹痛，网状细胞过多，高胆固醇血症，关节疼痛，唇形红细胞增多症，阵发性溶血性贫血，慢性溶血性贫血，血小板聚集障碍，冠状动脉粥样硬化，高β-载脂蛋白血症,AR,,
Autosomal dominant spastic paraplegia type 29,常染色体隐形痉挛性截瘫29型,609727,,,,呕吐，多动，尿失禁，遗传早现，痉挛性截瘫，阵挛，新生儿高胆红素血症，高弓足，振动觉障碍，感音神经性耳聋，上肢痉挛，夜尿症，巴彬斯基征，排尿困难，裂孔疝，尿急，,AD,,
Autosomal spastic paraplegia type 30,常染色体隐形痉挛性截瘫30型,610357,,autosomal recessive spastic paraplegia 30,常染色体隐形痉挛性截瘫30型,下肢痉挛，反射亢进，轴索性周围神经病，下肢肌萎缩，缓慢病程，痉挛步态，小脑萎缩，巴彬斯基征，辨距不良，痉挛性截瘫，膀胱括约肌功能障碍，下肢肌肉无力，踝阵挛，表现度差异,AR,,
Autosomal dominant spastic paraplegia type 31,常染色体隐形痉挛性截瘫31型,610250,,autosomal recessive spastic paraplegia 31,常染色体隐形痉挛性截瘫31型,痉挛性截瘫，高弓足，远端感觉障碍，吞咽困难，踝阵挛，肌萎缩，痉挛步态，尿急，下肢肌肉无力，构音障碍，巴彬斯基征,AD,,
Romano-Ward syndrome,长QT综合征5型,613695;616247;616249;192500;600919;603830;611818;611819;611820;612955;613485;613688;613693,,long QT syndrome 5,长QT综合征5型,尖端扭转型室性心动过速，心室纤维性颤动，心源性猝死,,,
Female restricted epilepsy with intellectual disability,早发幼儿癫痫性脑病9型,300088,,early infantile epileptic encephalopathy 9,早发幼儿癫痫性脑病9型,智力残疾，失张力癫痫发作，全面性强直-阵挛发作，全身性肌阵挛发作，全面发育迟缓，局灶性癫痫发作，失神发作，攻击性行为，精神病，婴幼儿期发病，癫痫持续状态,XL,,
Transaldolase deficiency,转醛醇酶缺乏症,606003,,transaldolase deficiency,转醛醇酶缺乏症,肝硬化，肝脾肿大，谷氨酰胺代谢异常，血清胆汁酸浓度增高，阴蒂异常，毛细血管扩张,,,
Autosomal dominant spastic paraplegia type 3,常染色体隐形痉挛性截瘫3A型,182600,,autosomal recessive spastic paraplegia 3A,常染色体隐形痉挛性截瘫3A型,膀胱括约肌功能障碍，痉挛性截瘫，下肢振动觉障碍，轻度智力残疾，异质性的，下肢肌肉无力，胼胝体发育不良，高弓足，截瘫，尿急，反射亢进，下肢远端肌肉肌萎缩，巴彬斯基征，起病隐袭，痉挛步态，尿失禁，表现度差异，IP，脊柱侧弯，皮质脊髓侧束变性，运动延迟,AD,IP,
Autosomal dominant spastic paraplegia type 10,常染色体隐形痉挛性截瘫10型,604187,,autosomal recessive spastic paraplegia 10,常染色体隐形痉挛性截瘫10型,"表型多样性，共济失调，远端感觉障碍，痉挛性截瘫，帕金森症，
踝阵挛，膝阵挛，下肢振动觉障碍，膀胱括约肌功能障碍，巴彬斯基征，进行性/渐进性，反射亢进，尿急，脊柱侧弯，尿失禁，下肢肌肉无力，痉挛步态，高弓足",AD,,
Autosomal dominant spastic paraplegia type 9,常染色体隐形痉挛性截瘫9A型,601162,,autosomal recessive spastic paraplegia 9A,常染色体隐形痉挛性截瘫9A型,构音障碍，眼球震颤，缓慢病程，尿失禁，尿急，小脑异常，振动觉障碍，痉挛性截瘫，下肢痉挛，遗传早现，高弓足，腕骨骨发育低下，胃食管反流，下肢肌肉无力，上运动神经元异常，骨骼成熟延迟，皮质脊髓侧束功能障碍，特定的学习障碍，巴彬斯基征，白内障，广泛肌萎缩，多发性运动神经病，步态不稳，盆带骨形态异常，呕吐，裂孔疝，反射亢进，身材矮小,AD,,
Autosomal dominant spastic paraplegia type 8,常染色体隐形痉挛性截瘫8型,603563,,autosomal recessive spastic paraplegia 8,常染色体隐形痉挛性截瘫8型,上肢痉挛，痉挛性截瘫，高弓足，起病隐袭，痉挛步态，下肢肌肉无力，下肢痉挛，尿失禁，皮质脊髓侧束变性，尿急，反射亢进，巴彬斯基征，进行性/渐进性，膀胱括约肌功能障碍，成年发病，下肢振动觉障碍,AD,,
Autosomal dominant spastic paraplegia type 6,常染色体隐形痉挛性截瘫6型,600363,,autosomal recessive spastic paraplegia 6,常染色体隐形痉挛性截瘫6型,震颤，痉挛性截瘫，下肢肌肉无力，下肢振动觉障碍，癫痫发作，尿急，膀胱括约肌功能障碍，巴彬斯基征，进行性/渐进性，痉挛步态，起病隐袭，高弓足，皮质脊髓侧束变性，下肢痉挛，阵挛，尿失禁，表现度差异,AD,,
Autosomal recessive spastic paraplegia type 5A,常染色体隐形痉挛性截瘫5A型,270800,,autosomal recessive spastic paraplegia 5A,常染色体隐形痉挛性截瘫5A型,高弓足，视神经萎缩，下肢肌肉无力，小脑异常，截瘫，痉挛性截瘫，远端本体感觉障碍，下肢振动觉障碍，尿失禁，进行性/渐进性，巴彬斯基征，痉挛步态，反射亢进，构音障碍,AR,,
Autosomal dominant spastic paraplegia type 4,常染色体隐形痉挛性截瘫4型,182601,,autosomal recessive spastic paraplegia 4,常染色体隐形痉挛性截瘫4型,下肢肌肉无力，膀胱括约肌功能障碍，痉挛性截瘫，截瘫，攻击性行为，巴彬斯基征，进行性/渐进性，记忆障碍，眼球震颤，情感淡漠，下肢振动觉障碍，抑郁，痴呆，尿急，腰痛，反射亢进，尿失禁，表现度差异，皮质脊髓侧束变性，遗传早现，起病隐袭，脱抑制，智力残疾，痉挛步态，易激惹,AD,,
Autosomal dominant spastic paraplegia type 19,常染色体隐形痉挛性截瘫19型,607152,,,,痉挛性截瘫，踝阵挛，膝阵挛，尿失禁，巴彬斯基征，缓慢病程，下肢痉挛，下肢振动觉障碍，膀胱括约肌功能障碍，尿急，下肢肌肉无力，反射亢进，痉挛步态,AD,,
Autosomal recessive spastic paraplegia type 20,troyer综合征（常染色体隐形痉挛性截瘫20型）,275900,,troyer syndrome,troyer综合征（常染色体隐形痉挛性截瘫20型）,"指（趾）内弯，小脑萎缩，面中部突出，辨距不良，脊柱侧弯，运动延迟，手关节过度伸展，短脚，眼距过宽，痉挛性双下肢瘫，槌状趾，先天性手指弯曲，短指畸形综合征，全面发育迟缓，上肢痉挛，
行走困难，膝阵挛，身材矮小，远端肌肉萎缩，儿童期发病，踝阵挛，
反射亢进，构音障碍，轻度智力残疾，痉挛步态，高弓足，流涎，情绪不稳，巴彬斯基征，下肢肌肉无力，痉挛性截瘫",AR,,
X-linked spastic paraplegia type 16,X连锁痉挛性截瘫16型,300266,,,,痉挛性截瘫，四肢瘫，下肢肌肉无力，四肢瘫，手指短末节指骨，视觉障碍，智力残疾，曳行步态，情绪波动，低挫折承受力，尿失禁，反射亢进，下肢肌萎缩，面部肌张力低下，躁动，上颌骨发育不全，尿急，青少年性发病，运动性失语，膀胱括约肌功能障碍，巴彬斯基征，斜视,XR,,
Autosomal dominant spastic paraplegia type 17,常染色体隐形痉挛性截瘫17型,270685,,autosomal recessive spastic paraplegia 17,常染色体隐形痉挛性截瘫17型,痉挛性截瘫，下肢肌肉无力，第一骨间肌萎缩，反射亢进，痉挛步态，鱼际肌肉萎缩，第一骨间肌无力，高弓足，下肢振动觉障碍，大鱼际肌肉无力，缓慢病程，巴彬斯基征，下肢痉挛,AD,,
Autosomal recessive spastic paraplegia type 14,常染色体隐形痉挛性截瘫14型,605229,,,,成年发病，痉挛性截瘫，运动轴索性神经病，下肢肌肉无力，痉挛步态，反射亢进，高弓足，进行性/渐进性，巴彬斯基征，轻度智力残疾，下肢痉挛,AR,,
Autosomal recessive spastic paraplegia type 15,常染色体隐形痉挛性截瘫15型,270700,,autosomal recessive spastic paraplegia 15,常染色体隐形痉挛性截瘫15型,中心视力下降，表型多样性，下肢肌肉无力，共济失调，黄斑变性，远端肌肉萎缩，痉挛性截瘫，轴索性周围神经病，胼胝体发育不良，视网膜变性，眼球震颤，尿失禁，精神病，阵挛，视觉障碍，下肢痉挛，高弓足，情绪波动，大便失禁，智力残疾，痉挛步态，进行性/渐进性，巴彬斯基征，膀胱括约肌功能障碍，尿急，构音障碍,AR,,
Autosomal dominant spastic paraplegia type 12,常染色体隐形痉挛性截瘫12型,604805,,autosomal recessive spastic paraplegia 12,常染色体隐形痉挛性截瘫12型,踝阵挛，膝阵挛，膀胱括约肌功能障碍，痉挛性截瘫，下肢振动觉障碍，尿失禁，进行性/渐进性，巴彬斯基征，痉挛步态，反射亢进，下肢肌肉无力，尿急，高弓足,AD,,
Autosomal dominant spastic paraplegia type 13,常染色体隐形痉挛性截瘫13型,605280,,autosomal recessive spastic paraplegia 13,常染色体隐形痉挛性截瘫13型,痉挛性截瘫，痉挛步态，反射亢进，下肢肌肉无力，尿急，膀胱括约肌功能障碍，下肢振动觉障碍，下肢痉挛，进行性/渐进性，尿失禁，巴彬斯基征,AD,,
Autosomal recessive spastic paraplegia type 27,常染色体隐形痉挛性截瘫27型,609041,,,,痉挛性截瘫，构音障碍，巴彬斯基征，脚踝振动觉障碍，膀胱痉挛/过度活跃，下肢痉挛，下肢腱反射亢进，成年发病,AR,,
Autosomal recessive spastic paraplegia type 28,常染色体隐形痉挛性截瘫28型,609340,,autosomal recessive spastic paraplegia 28,常染色体隐形痉挛性截瘫28型,痉挛性截瘫，轴索性周围神经病，远端感觉障碍，缓慢病程，巴彬斯基征，下肢痉挛，脊柱侧弯，青少年性发病，高弓足，下肢肌肉无力，反射亢进，行走困难,AR,,
Autosomal recessive spastic paraplegia type 25,常染色体隐形痉挛性截瘫25型,608220,,,,背痛疼痛，痉挛性截瘫,,,
Autosomal recessive spastic paraplegia type 26,常染色体隐形痉挛性截瘫26型,609195,,autosomal recessive spastic paraplegia 26,常染色体隐形痉挛性截瘫26型,辨距不良，肌张力障碍，缓慢病程，脊柱侧弯，血清睾酮水平降低，眼球震颤，运动障碍，踮起脚尖走路，痉挛性截瘫，尿急，腱反射减弱，大脑皮层萎缩，白内障，痉挛步态，高弓足，下肢痉挛，行走困难，反射亢进，构音障碍，频繁跌倒，情绪不稳，巴彬斯基征，进行性/渐进性，远端肌肉萎缩，轻度智力残疾,AR,,
Autosomal recessive spastic paraplegia type 23,常染色体隐形痉挛性截瘫23型,270750,,,,脸狭窄，白癜风，下肢肌肉无力，痉挛性截瘫，体毛过早花白，反射亢进，认知障碍，小下颌畸形，下颌后缩，晒斑，日光性色素沉着，巴彬斯基征，小头畸形，周围神经病,AR,,
Autosomal recessive spastic paraplegia type 24,常染色体隐形痉挛性截瘫24型,607584,,,,痉挛状态，痉挛性截瘫，趾尖式步态，站立困难，婴幼儿期发病，阵挛,AR,,
Autosomal recessive spastic paraplegia type 21,常染色体隐形痉挛性截瘫21型,248900,,autosomal recessive spastic paraplegia 21,常染色体隐形痉挛性截瘫21型,吞咽困难，运动不能缄默症，失用，表现度差异，下肢肌肉无力，小脑异常，步态不稳，痉挛性截瘫，巴彬斯基征，原始反射（掌颏反射，口鼻部，眉间），周围神经病，构音障碍，运动延迟，痴呆，反射亢进，缓慢病程，发病期，痉挛性双下肢瘫,AR,,
Carcinoid tumor and carcinoid syndrome,尝类癌综合征,114900,,intestinal carcinoid tumors,尝类癌综合征,肠道类癌,AD,,
Porphyria due to ALA dehydratase deficiency,急性肝卟啉病,612740,,acute hepatic porphyria,急性肝卟啉病,行为异常，精神病，多发性神经病，腹泻，便秘，腹痛,,,
FRAXE intellectual disability,FRAXE型X连锁智力低下,309548,,X-linked mental retardation，FRAXE type ,FRAXE型X连锁智力低下,攻击性行为，鼻梁突出，易激惹，语言发育迟缓，冲动，多动，强迫行为，内眦赘皮，智力残疾，代谢紊乱/稳态失衡,XR,,
Bathing suit ichthyosis,泳衣型鱼鳞病,242300,,,,鱼鳞病,,,
Hereditary angioedema type 3,遗传性血管性水肿3型,610618,,hereditary angioedema type 3,遗传性血管性水肿3型,呕吐，肠道水肿，血管性水肿，阵发性上气道阻塞，阵发性腹痛，,AD,,
Hereditary angioedema type 2,遗传性血管性水肿1或2型,106100,,hereditary angioedema type 1 and type 2,遗传性血管性水肿1或2型,红斑，自身免疫，轴索性周围神经病，血管性水肿，喉头水肿，咽部水肿，呕吐，腹痛，腹泻，肠道水肿，喉部异常,AD,,
Renin-angiotensin-aldosterone system-blocker-induced angioedema,肾素 - 血管紧张素 - 醛固酮系统阻断剂诱导的血管性水肿,300909,,,,血管性水肿,,,
Progressive non-fluent aphasia,GRN相关额颞叶痴呆,607485,,grn-related frontotemporal dementia,GRN相关额颞叶痴呆,颈部皮肤皱褶冗赘，抑郁，焦虑，智能衰退，额颞叶痴呆，失用，记忆障碍，语言障碍，失语症，脑白质异常，额颞叶萎缩，语法性语言障碍，颞叶皮质萎缩，失读症，脑电图持续慢活动，脑FDG正电子发射断层扫描异常，口语词汇识别能力降低,,,
Hypocalcified amelogenesis imperfecta,牙釉质形成不全3型,130900;616221,,amelogenesis imperfecta，type 3,牙釉质形成不全3型,牙釉质生长不全，前牙开咬，牙齿错位咬合，牙釉质发育不全，牙釉质凹陷，棕黄色牙，前牙开咬错位咬合畸形,AD，AR,,
Hypoplastic amelogenesis imperfecta,牙釉质形成不全1B型,104500;104530;204650;301201;616221;616270,,amelogenesis imperfecta，type 1B,牙釉质形成不全1B型,牙髓腔增大，前牙开咬，AR，牙釉质凹陷，牙齿颜色异常，牙釉质发育不全，牙釉质生长不全，棕黄色牙，前牙开咬错位咬合畸形，泛发性小牙畸形，牙釉质矿化不足，棕黄色牙，异质性的,AD，AR，XL,,
Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism,牙釉质形成/发育不全伴牛牙症,104510,,,,牙釉质生长不全，牙髓腔增大,AD,,
Hypomaturation amelogenesis imperfecta,牙釉质形成不全2A1型,204700;301200;612529;613211;614832;615887;617217,,amelogenesis imperfecta，type 2A1,牙釉质形成不全2A1型,"牙釉质生长不全，龋齿，牙釉质发育不全，表型多样性，前牙开咬，
牙釉质发育不成熟，牙釉质矿化不足，小牙畸形，牙釉质生长不全，代谢紊乱/稳态失衡",AR，XD,,
Familial pseudohyperkalemia type 1,家族性假性高钾血症1型,177720,,,,网状细胞过多，黄疸，苍白圈，胆石症，脾肿大，血清铁蛋白增高，血红蛋白尿症，肝脏肿大，与剪切应力增加相关的红细胞溶血，运动诱发性性溶血，肝炎,AD,,
